Town,            Population, Country,            Page, Lat_Deg, Lat_Min, Lat_Dir, Lon_Deg, Lon_Min, Lon_Dir
Nonitubidu,      465,        Tarisato,           325,  29,      50,      N,       1,       55,      E
Nordden,         472,        Pelbrolenon,        308,  36,      0,       N,       18,      15,      W
Nordolen,        19600,      Eldor,              293,  44,      0,       N,       18,      15,      W
Nordven,         956,        Elosdesert,         311,  38,      40,      N,       7,       30,      W
Noreneta,        1706,       Korak,              342,  44,      15,      N,       8,       20,      W
Noridu,          646,        Kalamar,            317,  34,      40,      N,       1,       50,      W
Noridu,          519,        Kalamar,            318,  34,      55,      N,       1,       5,       E
Norozmish,       1131,       Meznamish,          399,  31,      10,      N,       15,      20,      W
Norrbirra,       579,        Drhokker,           358,  46,      15,      N,       7,       25,      E
Norrshayl,       1022,       Skarrna,            364,  43,      45,      N,       8,       40,      E
Norrshirkk,      792,        Drhokker,           364,  45,      35,      N,       8,       10,      E
Norrshurr,       1218,       Drhokker,           363,  45,      10,      N,       5,       25,      E
Norrtron,        504,        Tharggy,            361,  43,      20,      N,       2,       0,       E
Norr-Bharr,      1000,       Torakk,             352,  50,      5,       N,       3,       55,      E
Norr-Tyth,       536,        Skarrna,            370,  41,      50,      N,       8,       40,      E
Nortrik,         347,        Drhokker,           365,  45,      45,      N,       11,      35,      E
Norzhahn,        310,        Ahznomahn,          410,  27,      25,      N,       8,       0,       W
Noshof,          795,        Khydobandesert,     373,  39,      20,      N,       10,      20,      E
Noshy,           394,        Thybaj,             362,  44,      5,       N,       4,       35,      E
Nosido,          971,        Kalamar,            320,  33,      45,      N,       3,       20,      W
Noszhahni,       1166,       Zazahni,            408,  27,      55,      N,       13,      35,      W
Notipepik,       318,        Kalamar,            322,  33,      30,      N,       0,       10,      E
Notok,           786,        Khydobandesert,     374,  40,      0,       N,       10,      50,      E
Nowidu,          467,        Kalamar,            321,  33,      30,      N,       1,       55,      W
Nozhmish,        1203,       Ahznomahn,          402,  29,      5,       N,       8,       10,      W
Nozhtahni,       RUINS,      Zazahni,            400,  30,      5,       N,       13,      50,      W
Nuarei,          RUINS,      Counaiheights,      368,  37,      20,      N,       4,       15,      E
Nubido,          663,        Pekal,              346,  42,      20,      N,       7,       10,      W
Nubido,          1229,       Pekal,              347,  42,      40,      N,       5,       35,      E
Nubodido,        1755,       Kalamar,            321,  33,      10,      N,       1,       45,      W
Nuden,           289,        Mendarn,            303,  37,      25,      N,       18,      20,      W
Nudithido,       1022,       Kalamar,            322,  34,      15,      N,       1,       0,       E
Nudopido,        1207,       Pekal,              346,  41,      10,      N,       6,       25,      W
Nuegoor,         RUINS,      Counaiheights,      368,  37,      45,      N,       4,       40,      E
Nufenetido,      1420,       Kalamar,            318,  37,      5,       N,       0,       25,      W
Nufidu,          608,        Kalamar,            322,  32,      55,      N,       0,       15,      W
Nufiw'nidu,      473,        Kalamar,            318,  36,      15,      N,       0,       5,       W
Nugido,          1979,       Kalamar,            316,  34,      35,      N,       4,       10,      W
Nugidu,          731,        Kalamar,            318,  35,      55,      N,       0,       40,      E
Nugobido,        955,        Kalamar,            322,  33,      25,      N,       1,       10,      E
Nuhalakorido,    1659,       Kalamar,            322,  31,      25,      N,       0,       20,      E
Nuhidu,          758,        Kalamar,            321,  33,      15,      N,       1,       35,      W
Nuhidu,          706,        Tarisato,           326,  28,      30,      N,       2,       30,      E
Nukagh,          2561,       Ul-Karg,            407,  28,      0,       N,       16,      35,      W
Nuka'idu,        500,        Tarisato,           329,  28,      5,       N,       3,       35,      E
Nukido,          1539,       Ek'kasel,           346,  42,      25,      N,       8,       20,      W
Nuluhathesido,   1696,       Kalamar,            319,  36,      50,      N,       2,       25,      E
Nulwegkazh,      433,        Tarisato,           326,  28,      55,      N,       3,       50,      E
Numakidu,        731,        Dodera,             313,  38,      55,      N,       0,       35,      W
Numido,          1308,       Kalamar,            317,  35,      30,      N,       2,       40,      W
Numokido,        1171,       Kalamar,            323,  33,      10,      N,       2,       50,      E
Nunanidu,        528,        Kalamar,            323,  31,      45,      N,       3,       0,       E
Nun'vido,        1693,       Ek'gakel,           342,  46,      10,      N,       6,       10,      W
Nupidu,          430,        Kalamar,            325,  31,      0,       N,       0,       0,       E
Nur,             336,        Kalamar,            317,  36,      50,      N,       2,       50,      W
Nurden,          763,        Cosdol,             290,  47,      25,      N,       14,      10,      W
Nurden,          720,        Mendarn,            303,  37,      30,      N,       18,      30,      W
Nuredido,        1860,       Ek'gakel,           343,  45,      20,      N,       4,       35,      W
Nureneta,        1535,       Korak,              341,  45,      20,      N,       9,       55,      W
Nutapido,        1029,       Dodera,             314,  38,      45,      N,       1,       20,      E
Nutidu,          581,        Kalamar,            322,  32,      35,      N,       0,       50,      E
Nuvden,          325,        Delnondrianislands, 298,  41,      55,      N,       19,      25,      W
Nuvlven,         1110,       Delnondrianislands, 296,  42,      45,      N,       23,      25,      W
Nuvrden,         428,        P'bapar,            341,  46,      10,      N,       9,       55,      W
Nuvrden,         750,        Mendarn,            303,  39,      15,      N,       17,      25,      W
Nuzuu,           RUINS,      Counaiheights,      368,  37,      30,      N,       3,       55,      E
Nydar,           577,        Slen,               340,  49,      0,       N,       0,       40,      W
Nydrash,         459,        Shynabyth,          356,  46,      55,      N,       0,       30,      E
Nykoso,          1052,       Privbolsianislands, 306,  36,      30,      N,       23,      45,      W
Nylari,          401,        Privbolsianislands, 306,  36,      35,      N,       24,      5,       W
Nynaf,           442,        Shynabyth,          361,  45,      45,      N,       1,       10,      E
Nynok,           533,        Khydobandesert,     373,  39,      50,      N,       10,      5,       E
Nysaf,           626,        Thybaj,             367,  41,      15,      N,       4,       10,      E
Nyshaf,          520,        Thybaj,             368,  38,      35,      N,       4,       5,       E
Nyta,            515,        Khydobandesert,     373,  40,      5,       N,       10,      20,      E
Nythok,          5500,       Drhokker,           362,  45,      55,      N,       3,       25,      E
Nyton,           8300,       Thybaj,             367,  40,      45,      N,       3,       35,      E
Nytor,           470,        Khydobandesert,     373,  39,      50,      N,       10,      30,      E
Ohnahni,         889,        Ozhvinmish,         395,  31,      40,      N,       7,       40,      W
Olden,           346,        Korak,              341,  44,      15,      N,       9,       45,      W
Olden,           594,        Mendarn,            303,  37,      30,      N,       19,      15,      W
Oloseta,         26200,      Tarisato,           325,  29,      40,      N,       1,       30,      E
Omidu,           870,        Ek'kasel,           342,  43,      55,      N,       7,       20,      W
Omimish,         1716,       Meznamish,          393,  32,      40,      N,       14,      5,       W
Onasahn,         2410,       Meznamish,          392,  32,      15,      N,       15,      15,      W
Onvven,          1627,       Eldor,              299,  42,      45,      N,       17,      15,      W
Onzeuv,          524,        Nanakaryforest,     373,  38,      0,       N,       8,       55,      E
Operikido,       1788,       Ek'kasel,           346,  43,      10,      N,       7,       35,      W
Ormyn,           438,        Rytarrwoods,        358,  47,      0,       N,       7,       35,      E
Osi-Ahnozh,      1567,       Zazahni,            400,  29,      20,      N,       11,      50,      W
Ospden,          556,        Privbolsianislands, 307,  36,      20,      N,       21,      25,      W
Ospden,          370,        Bronish,            397,  30,      45,      N,       20,      35,      W
Ospolen,         45700,      Mendarn,            303,  38,      15,      N,       17,      55,      W
Osvahni,         1247,       Meznamish,          392,  32,      35,      N,       15,      40,      W
Oukair,          RUINS,      Counaiheights,      319,  37,      0,       N,       4,       15,      E
Ovlden,          365,        Pelbrolenon,        309,  36,      45,      N,       17,      10,      W
Ozvahn,          414,        Ahznomahn,          402,  29,      20,      N,       8,       5,       W
Pabudidu,        512,        Kalamar,            322,  33,      10,      N,       0,       30,      W
Paezoor,         617,        Reanaariabay,       372,  38,      45,      N,       5,       50,      E
Paforidu,        684,        Kalamar,            317,  37,      5,       N,       2,       40,      W
Paforidu,        865,        Kalamar,            321,  33,      25,      N,       0,       30,      W
Pagalido,        4700,       Tarisato,           328,  27,      55,      N,       1,       15,      E
Pagidu,          706,        Tokis,              348,  40,      25,      N,       2,       20,      E
Pahidu,          497,        Kalamar,            322,  31,      45,      N,       1,       45,      E
Pahidu,          404,        Tarisato,           325,  29,      55,      N,       1,       45,      E
Pahzahn,         260,        Ozhvinmish,         393,  31,      40,      N,       13,      40,      W
Pak,             367,        Basir,              316,  34,      35,      N,       5,       40,      W
Paka'aridu,      740,        Tarisato,           326,  28,      20,      N,       3,       35,      E
Paketa,          20300,      Paru'bor,           344,  43,      45,      N,       1,       50,      W
Paklomaz,        353,        Ul-Karg,            406,  27,      55,      N,       18,      10,      W
Pamido,          1447,       Kalamar,            323,  33,      55,      N,       2,       50,      E
Panden,          780,        Mendarn,            304,  40,      10,      N,       15,      35,      W
Panobido,        1614,       Kalamar,            316,  35,      40,      N,       3,       30,      W
Panopidu,        501,        Kalamar,            316,  35,      25,      N,       3,       30,      W
Paoxai,          640,        Fauteeforest,       378,  34,      5,       N,       5,       15,      E
Papido,          915,        Kalamar,            321,  33,      20,      N,       2,       5,       W
Papidu,          506,        Paru'bor,           344,  45,      15,      N,       1,       35,      W
Papmish,         747,        Ahznomahn,          402,  29,      30,      N,       6,       55,      W
Papoveth,        359,        Tarisato,           329,  28,      5,       N,       3,       0,       E
Pared,           342,        Ek'gakel,           338,  47,      25,      N,       8,       0,       W
Parnden,         348,        Korak,              341,  43,      55,      N,       10,      5,       W
Parnden,         522,        Mendarn,            303,  37,      25,      N,       19,      40,      W
Pasidu,          763,        Kalamar,            323,  34,      10,      N,       2,       55,      E
Pasmish,         2026,       Meznamish,          392,  33,      5,       N,       15,      5,       W
Paspven,         1603,       Eldor,              294,  44,      20,      N,       15,      30,      W
Pateta,          1701,       Korak,              342,  43,      20,      N,       8,       5,       W
Pathiwidu,       796,        Kalamar,            322,  31,      50,      N,       0,       15,      E
Patidu,          756,        Basir,              315,  35,      20,      N,       6,       20,      W
Patidu,          677,        Kalamar,            318,  36,      45,      N,       0,       25,      E
Pavido,          1336,       Tokis,              347,  41,      20,      N,       3,       45,      E
Pavlden,         542,        Eldor,              299,  40,      40,      N,       16,      10,      W
Pawven,          953,        Pelbrolenon,        308,  36,      10,      N,       18,      5,       W
P'bapar,         73100,      P'bapar,            337,  46,      55,      N,       10,      25,      W
Pedido,          1556,       Pekal,              347,  40,      45,      N,       5,       40,      E
Pedoth,          382,        Basir,              316,  34,      45,      N,       5,       30,      W
Pegidu,          728,        Paru'bor,           344,  45,      0,       N,       3,       10,      W
Pehzmish,        2211,       Zazahni,            400,  29,      35,      N,       11,      50,      W
Pekalidu,        521,        Kalamar,            322,  32,      20,      N,       1,       50,      E
Pemden,          570,        Mendarn,            303,  37,      25,      N,       19,      30,      W
Pemido,          1690,       Ek'kasel,           342,  43,      50,      N,       7,       30,      W
Pemido,          1297,       Tarisato,           325,  29,      10,      N,       1,       25,      E
Pemidu,          466,        Korak,              341,  43,      55,      N,       9,       55,      W
Penhahn,         368,        Ozhvinmish,         402,  29,      30,      N,       8,       30,      W
Penmish,         517,        Zazahni,            408,  27,      50,      N,       13,      20,      W
Peowid,          538,        Reanaariabay,       372,  40,      5,       N,       6,       45,      E
Perikazh,        349,        Tarisato,           326,  31,      15,      N,       3,       25,      E
Peszhokragh,     1756,       Ul-Karg,            406,  27,      0,       N,       18,      45,      W
Petido,          2014,       Kalamar,            318,  36,      20,      N,       2,       10,      E
Pettpuhagh,      1268,       Ul-Karg,            398,  20,      45,      N,       17,      25,      W
Pevido,          1178,       Kalamar,            314,  37,      45,      N,       0,       30,      W
Pevrven,         913,        Eldor,              294,  45,      50,      N,       14,      35,      W
Pewido,          1182,       Kalamar,            318,  35,      10,      N,       1,       5,       E
Peznahni,        392,        Ozhvinmish,         395,  32,      0,       N,       8,       50,      W
Pibido,          1842,       Kalamar,            313,  37,      30,      N,       1,       15,      W
Pifido,          1755,       O'par,              348,  42,      35,      N,       1,       40,      E
Pifuw,           389,        Kalamar,            313,  37,      30,      N,       0,       50,      W
Pihidu,          428,        Kalamar,            326,  30,      40,      N,       2,       15,      E
Pihzahni,        489,        Ahznomahn,          410,  27,      50,      N,       7,       40,      W
Pijkkurzagh,     522,        Ul-Karg,            406,  27,      40,      N,       18,      50,      W
Pika'enuwidu,    524,        Kalamar,            318,  36,      55,      N,       0,       5,       W
Pikiwido,        1080,       Pekal,              347,  40,      45,      N,       5,       10,      E
Pildven,         1261,       Mendarn,            303,  38,      5,       N,       18,      40,      W
Pilolidu,        517,        Kalamar,            317,  35,      0,       N,       2,       55,      W
Pilonido,        1555,       Kalamar,            318,  37,      10,      N,       0,       30,      W
Pimifidu,        734,        Kalamar,            322,  32,      25,      N,       0,       45,      E
Pinnahni,        2032,       Meznamish,          399,  31,      15,      N,       16,      15,      W
Pipido,          4300,       Tokis,              347,  41,      15,      N,       3,       45,      E
Pispden,         592,        Mendarn,            304,  39,      5,       N,       15,      15,      W
Pitido,          1818,       Tokis,              312,  38,      40,      N,       4,       35,      W
Pitotuka'ido,    1293,       Kalamar,            321,  33,      25,      N,       2,       35,      W
Piwidu,          564,        Tarisato,           326,  28,      30,      N,       2,       45,      E
P'kidu,          636,        Kalamar,            321,  31,      55,      N,       0,       35,      W
Plalmden,        465,        Eldor,              294,  44,      50,      N,       16,      10,      W
Plazven,         1904,       Eldor,              298,  42,      55,      N,       18,      15,      W
P'lehidu,        494,        Ek'kasel,           342,  44,      25,      N,       8,       0,       W
P'lewido,        1283,       Ek'kasel,           346,  42,      5,       N,       7,       45,      W
P'lididu,        785,        Ek'gakel,           342,  45,      50,      N,       7,       10,      W
Plidven,         1343,       Eldor,              294,  44,      10,      N,       16,      10,      W
P'lihido,        644,        Korak,              341,  44,      5,       N,       9,       55,      W
Pliwden,         847,        Mendarn,            304,  39,      50,      N,       16,      50,      W
Plohden,         696,        Mendarn,            303,  39,      55,      N,       17,      25,      W
P'londen,        540,        P'bapar,            337,  48,      0,       N,       9,       15,      W
Plonvden,        617,        Eldor,              294,  43,      35,      N,       16,      10,      W
Plorden,         619,        Mendarn,            304,  39,      20,      N,       16,      0,       W
P'lorido,        1049,       Korak,              341,  45,      0,       N,       10,      5,       W
Plozven,         1969,       Mendarn,            303,  39,      15,      N,       17,      55,      W
Pluden,          862,        Mendarn,            304,  39,      20,      N,       16,      55,      W
Plumden,         737,        Cosdol,             290,  48,      35,      N,       13,      45,      W
Plurnden,        631,        Mendarn,            304,  39,      55,      N,       16,      15,      W
P'lusido,        1020,       Korak,              346,  43,      5,       N,       8,       35,      W
Pluvrven,        1402,       Eldor,              299,  42,      0,       N,       15,      30,      W
Pluwden,         627,        Eldor,              293,  44,      0,       N,       18,      0,       W
Pobubethido,     1622,       O'par,              348,  42,      55,      N,       2,       25,      E
Pofologidu,      538,        O'par,              348,  42,      20,      N,       1,       45,      E
Pohidu,          462,        Ek'kasel,           346,  42,      50,      N,       8,       15,      W
Pohrmish,        1578,       Meznamish,          392,  32,      0,       N,       15,      20,      W
Pohzzahn,        1398,       Ozhvinmish,         393,  33,      25,      N,       12,      10,      W
Poka'ido,        1703,       Dodera,             314,  39,      35,      N,       0,       5,       E
Pokido,          1081,       Korak,              341,  44,      30,      N,       9,       40,      W
Pokofido,        1227,       Tokis,              312,  38,      30,      N,       3,       40,      W
Polathido,       2144,       Kalamar,            317,  34,      50,      N,       3,       15,      W
Polden,          819,        Eldor,              294,  44,      10,      N,       16,      5,       W
Polido,          1941,       Kalamar,            325,  30,      50,      N,       1,       45,      E
Pom,             380,        P'bapar,            337,  47,      45,      N,       9,       40,      W
Pomekidu,        845,        Kalamar,            322,  32,      0,       N,       0,       30,      E
Pomimish,        900,        Zazahni,            400,  29,      25,      N,       13,      40,      W
Pondven,         903,        Eldor,              299,  40,      55,      N,       15,      55,      W
Pon'sokido,      2405,       Kalamar,            322,  31,      20,      N,       0,       15,      E
Popden,          529,        Eldor,              294,  44,      35,      N,       16,      0,       W
Porido,          1696,       Ek'gakel,           342,  45,      15,      N,       6,       30,      W
Porido,          1442,       Kalamar,            325,  31,      0,       N,       1,       20,      E
Pormish,         1096,       Ozhvinmish,         394,  32,      40,      N,       11,      10,      W
Pothamido,       1623,       Kalamar,            317,  37,      45,      N,       1,       50,      W
Pothido,         998,        Dodera,             314,  39,      45,      N,       0,       30,      E
Potido,          838,        Korak,              342,  44,      15,      N,       8,       0,       W
Povidu,          595,        Dodera,             313,  39,      20,      N,       0,       40,      W
Poyden,          721,        Eldor,              299,  42,      35,      N,       15,      45,      W
Pozhmish,        389,        Ozhvinmish,         393,  33,      20,      N,       12,      15,      W
Pozhmish,        843,        Zazahni,            409,  28,      15,      N,       9,       40,      W
Pravrden,        435,        Eldor,              294,  43,      35,      N,       16,      50,      W
Prazden,         681,        Eldor,              299,  42,      35,      N,       17,      15,      W
Premdin,         779,        Elosdesert,         311,  39,      0,       N,       7,       35,      W
Premoladen,      306,        Elosdesert,         315,  35,      55,      N,       8,       15,      W
Premolen,        9800,       Eldor,              294,  44,      10,      N,       16,      20,      W
Prerden,         408,        Eldor,              293,  43,      15,      N,       17,      30,      W
Prespden,        322,        Delnondrianislands, 297,  42,      25,      N,       21,      15,      W
P'rididu,        462,        Ek'gakel,           343,  45,      50,      N,       5,       5,       W
Prifven,         1683,       Eldor,              293,  45,      35,      N,       18,      0,       W
Prigden,         313,        Eldor,              299,  42,      35,      N,       16,      15,      W
Prinden,         359,        Privbolsianislands, 307,  36,      40,      N,       20,      35,      W
P'rirenidu,      874,        P'bapar,            337,  46,      35,      N,       10,      0,       W
Privrden,        528,        Mendarn,            303,  37,      30,      N,       18,      45,      W
Priwden,         650,        Mendarn,            303,  37,      20,      N,       19,      0,       W
Prompeldia,      15800,      Elosdesert,         311,  38,      40,      N,       7,       30,      W
Prorlden,        543,        Mendarn,            304,  40,      5,       N,       15,      20,      W
Provlden,        377,        Mendarn,            308,  36,      40,      N,       19,      35,      W
Proyden,         702,        Eldor,              293,  44,      15,      N,       17,      45,      W
Prupden,         689,        Cosdol,             295,  46,      15,      N,       13,      50,      W
Prurlven,        1019,       Mendarn,            303,  38,      35,      N,       17,      50,      W
P'sidu,          464,        Kalamar,            321,  32,      0,       N,       0,       55,      W
P'thido,         1423,       Kalamar,            325,  30,      10,      N,       1,       10,      E
Pufebothido,     2355,       Kalamar,            317,  37,      15,      N,       1,       5,       W
Puka,            375,        Paru'bor,           344,  45,      10,      N,       2,       40,      W
Pukatido,        1014,       Tokis,              312,  37,      45,      N,       5,       45,      W
Pulibido,        1722,       Tokis,              313,  38,      10,      N,       2,       10,      W
Pulido,          2616,       Kalamar,            318,  34,      50,      N,       0,       50,      E
Pulidu,          607,        Kalamar,            323,  32,      55,      N,       2,       25,      E
Punuka'ido,      1998,       Kalamar,            321,  32,      10,      N,       2,       40,      W
Puomoin,         481,        Counaiheights,      319,  37,      15,      N,       4,       35,      E
Pupidu,          710,        Tarisato,           326,  28,      50,      N,       3,       0,       E
Pupven,          1366,       Eldor,              294,  45,      0,       N,       17,      15,      W
Puridu,          774,        Basir,              320,  33,      30,      N,       4,       45,      W
Pusilido,        1039,       Kalamar,            317,  36,      30,      N,       3,       10,      W
Pusovido,        2338,       O'par,              348,  43,      0,       N,       1,       10,      E
Puthidu,         849,        Tarisato,           329,  28,      0,       N,       2,       55,      E
Puvaniwolidu,    452,        Kalamar,            321,  32,      45,      N,       1,       40,      W
Puvidu,          679,        Kalamar,            322,  31,      30,      N,       1,       45,      E
Puwidu,          801,        Kalamar,            322,  32,      35,      N,       1,       5,       E
Puyven,          1703,       Pelbrolenon,        308,  36,      5,       N,       17,      25,      W
Raaghrun,        540,        ,                   381,  29,      25,      N,       6,       25,      E
Rabalidu,        565,        Basir,              320,  33,      10,      N,       4,       20,      W
Rabidov,         376,        Basir,              316,  35,      15,      N,       4,       40,      W
Rabidu,          479,        Dodera,             313,  40,      5,       N,       0,       45,      W
Raddik,          200,        Skarrna,            370,  42,      10,      N,       8,       5,       E
Rafuka'onido,    1093,       Pekal,              347,  42,      0,       N,       5,       40,      E
Ragewidu,        415,        Tarisato,           329,  28,      10,      N,       3,       15,      E
Rahden,          511,        Delnondrianislands, 297,  42,      10,      N,       21,      0,       W
Rahido,          1033,       Kalamar,            316,  35,      25,      N,       3,       35,      W
Rahino,          484,        Ek'gakel,           343,  45,      55,      N,       5,       55,      W
Rahmish,         690,        Ozhvinmish,         401,  30,      35,      N,       10,      5,       W
Rajargazh,       493,        Ul-Karg,            398,  30,      5,       N,       17,      30,      W
Raka,            347,        Pekal,              347,  40,      35,      N,       4,       50,      E
Rakelap,         381,        Pekal,              347,  40,      55,      N,       4,       55,      E
Ralido,          2501,       Kalamar,            313,  37,      35,      N,       0,       55,      W
Ralidu,          558,        Kalamar,            322,  33,      0,       N,       0,       55,      E
Ralidu,          533,        Kalamar,            323,  32,      55,      N,       2,       15,      E
Randden,         672,        Elosdesert,         311,  39,      45,      N,       8,       0,       W
Randen,          368,        Elosdesert,         350,  35,      25,      N,       9,       25,      W
Randolen,        8900,       Eldor,              294,  43,      20,      N,       16,      20,      W
Ranowpahni,      393,        Ozhvinmish,         394,  32,      20,      N,       11,      25,      W
Ranven,          3000,       Eldor,              299,  40,      45,      N,       16,      20,      W
Rapelidu,        496,        Kalamar,            322,  32,      20,      N,       0,       25,      W
Rapido,          1529,       Basir,              316,  38,      55,      N,       6,       0,       W
Rapidu,          492,        Kalamar,            323,  32,      15,      N,       2,       30,      E
Rapiwidu,        408,        Kalamar,            323,  33,      40,      N,       2,       15,      E
Rapven,          942,        Pelbrolenon,        309,  36,      25,      N,       15,      55,      W
Rarden,          642,        Eldor,              294,  44,      30,      N,       15,      25,      W
Rarmish,         1390,       Meznamish,          399,  30,      50,      N,       15,      20,      W
Rashmish,        1025,       Ozhvinmish,         402,  30,      5,       N,       8,       45,      W
Rasido,          1882,       Kalamar,            316,  35,      40,      N,       4,       5,       W
Rasidu,          894,        Ek'gakel,           342,  45,      40,      N,       6,       15,      W
Rasidu,          728,        Kalamar,            316,  35,      30,      N,       4,       20,      W
Rasmish,         491,        Ahznomahn,          402,  30,      40,      N,       7,       25,      W
Rasven,          1082,       Eldor,              294,  43,      50,      N,       16,      55,      W
Ravido,          1401,       Kalamar,            322,  33,      15,      N,       1,       40,      E
Ravrden,         494,        Mendarn,            303,  37,      35,      N,       19,      25,      W
Rawido,          1659,       Kalamar,            317,  34,      45,      N,       2,       30,      W
Rayl,            1868,       Rytarrwoods,        359,  47,      55,      N,       8,       55,      E
Redidu,          561,        Basir,              315,  35,      50,      N,       6,       20,      W
Rehidu,          445,        Kalamar,            321,  33,      45,      N,       1,       15,      W
Rehiwido,        1041,       Kalamar,            322,  33,      45,      N,       0,       0,       W
Rehzwahni,       1411,       Zazahni,            401,  30,      30,      N,       10,      50,      W
Reka,            1037,       Khydobandesert,     370,  40,      5,       N,       10,      30,      E
Reka'idu,        613,        Kalamar,            313,  38,      0,       N,       0,       40,      W
Rekibidu,        487,        Kalamar,            323,  31,      45,      N,       3,       20,      E
Rekido,          1526,       Kalamar,            322,  31,      35,      N,       0,       0,       W
Relven,          1913,       Mendarn,            303,  39,      5,       N,       17,      50,      W
Renido,          1122,       Kalamar,            323,  33,      10,      N,       2,       40,      E
Renoth,          712,        Khydobandesert,     371,  41,      40,      N,       11,      0,       E
Repidu,          601,        Basir,              320,  34,      0,       N,       4,       25,      W
Repven,          920,        Eldor,              295,  46,      5,       N,       14,      20,      W
Rerido,          2103,       Kalamar,            322,  31,      55,      N,       0,       25,      E
Reridu,          629,        Basir,              316,  35,      10,      N,       4,       55,      W
Rerosh,          351,        Shynabyth,          340,  47,      40,      N,       1,       5,       W
Reshahn,         889,        Ozhvinmish,         401,  30,      30,      N,       9,       35,      W
Reshar,          345,        Shynabyth,          361,  45,      40,      N,       1,       0,       E
Reshyk,          532,        Khydobandesert,     373,  39,      35,      N,       10,      30,      E
Rethido,         1211,       Kalamar,            320,  31,      35,      N,       3,       25,      W
Rethidu,         726,        Kalamar,            322,  33,      10,      N,       0,       25,      E
Ret'hidu,        455,        Tarisato,           325,  30,      5,       N,       2,       10,      E
Revido,          1310,       Tokis,              348,  40,      30,      N,       2,       30,      E
Revido,          970,        Kalamar,            325,  30,      35,      N,       1,       10,      E
Revidu,          730,        Kalamar,            322,  32,      5,       N,       1,       40,      E
Revrden,         581,        Mendarn,            304,  39,      35,      N,       17,      10,      W
Rewido,          1094,       Kalamar,            322,  32,      5,       N,       1,       15,      E
Ridareta,        7500,       Dodera,             348,  41,      10,      N,       1,       0,       E
Rifden,          367,        Privbolsianislands, 307,  36,      25,      N,       21,      10,      W
Rigidu,          433,        Kalamar,            318,  35,      30,      N,       1,       0,       E
Rihzazh,         439,        Norga-Krangrel,     345,  43,      0,       N,       9,       50,      W
Rikalidu,        523,        Kalamar,            322,  33,      25,      N,       1,       40,      E
Rika'usidu,      821,        Kalamar,            321,  33,      0,       N,       2,       50,      W
Rilefido,        1193,       Kalamar,            320,  33,      40,      N,       3,       35,      W
Rilido,          1717,       Kalamar,            325,  31,      5,       N,       0,       5,       E
Rilukk,          828,        Skarrna,            364,  43,      35,      N,       8,       55,      E
Rinhahn,         1939,       Zazahni,            401,  30,      10,      N,       11,      10,      W
Rininido,        1946,       Kalamar,            318,  35,      15,      N,       1,       15,      E
Rinukagh,        12200,      Norga-Krangrel,     295,  43,      35,      N,       11,      50,      W
Rinven,          1795,       Eldor,              299,  43,      10,      N,       17,      10,      W
Ripaka'uvidu,    744,        Kalamar,            318,  34,      45,      N,       0,       30,      E
Rirzagh,         1802,       Tarisato,           326,  28,      55,      N,       3,       15,      E
Risden,          427,        Mendarn,            304,  39,      50,      N,       17,      10,      W
Rishmahn,        635,        Ahznomahn,          403,  28,      30,      N,       5,       40,      W
Risidu,          672,        Ek'kasel,           342,  43,      40,      N,       7,       20,      W
Risihiridu,      744,        Kalamar,            322,  31,      55,      N,       0,       55,      E
Rismish,         3029,       Ahznomahn,          402,  29,      25,      N,       7,       40,      W
Ritven,          1338,       Eldor,              293,  43,      35,      N,       18,      5,       W
Rivven,          1407,       Eldor,              298,  42,      50,      N,       17,      30,      W
Robido,          2083,       Tokis,              312,  38,      55,      N,       4,       0,       W
Robidu,          801,        Kalamar,            322,  33,      10,      N,       1,       15,      E
Robuselido,      3000,       Ek'gakel,           342,  46,      15,      N,       7,       0,       W
Roby,            442,        Shynabyth,          356,  48,      5,       N,       0,       15,      W
Rodaf,           387,        Shynabyth,          356,  47,      5,       N,       0,       15,      W
Rodidu,          685,        Tarisato,           326,  29,      25,      N,       2,       40,      E
Rogalidu,        439,        Kalamar,            322,  33,      15,      N,       1,       25,      E
Rogden,          567,        Mendarn,            308,  37,      10,      N,       19,      55,      W
Rogido,          2209,       Kalamar,            325,  31,      5,       N,       0,       50,      E
Roha,            765,        Thybaj,             367,  40,      45,      N,       4,       15,      E
Rohden,          338,        Mendarn,            300,  40,      20,      N,       14,      25,      W
Rohedido,        2118,       Basir,              320,  33,      20,      N,       4,       10,      W
Rohlmish,        RUINS,      Zazahni,            400,  29,      40,      N,       14,      15,      W
Rohz,            320,        Ozhvinmish,         395,  32,      5,       N,       8,       50,      W
Rohzsvahn,       382,        Ozhvinmish,         402,  30,      15,      N,       8,       50,      W
Rojyn,           767,        Elosdesert,         310,  35,      40,      N,       12,      50,      W
Rolal,           392,        Privbolsianislands, 307,  35,      55,      N,       22,      20,      W
Rolidu,          544,        Kalamar,            318,  35,      50,      N,       0,       30,      E
Romez-Ahnozh,    1124,       Elosdesert,         310,  36,      50,      N,       11,      45,      W
Romidu,          806,        Kalamar,            316,  35,      50,      N,       3,       35,      W
Romimahn,        336,        Ozhvinmish,         394,  31,      45,      N,       11,      25,      W
Romizhahni,      1416,       Meznamish,          392,  33,      40,      N,       14,      35,      W
Romomish,        2215,       Zazahni,            400,  30,      5,       N,       12,      55,      W
Ronarahn,        1599,       Zazahni,            400,  29,      30,      N,       13,      40,      W
